Generals_Performance
General,number_of_battles,WAR,aWAR
'Abd Allah II ibn 'Ali 'Abd ash-Shakur,1,-1.0484331566698800,-1.0484331566698800
'Abd Allah ibn Rawahah,1,-1.0493829312482100,-1.0493829312482100
'Amr ibn al-'As,3,2.1906552328293800,0.7302184109431270
12th Infantry Division (Pakistan),1,0.021404420747438900,0.021404420747438900
1st Belorussian Front,1,0.16035144992993100,0.16035144992993100
1st Infantry Division (United States),1,0.9199179237675210,0.9199179237675210
1st Panzer Army,1,-1.1117306793090500,-1.1117306793090500
1st Ukrainian Front,2,1.2701609921568500,0.6350804960784250
21st Army Group,1,0.9515662103580560,0.9515662103580560
2nd Belorussian Front,1,0.16035144992993100,0.16035144992993100
30th Infantry Division (United States),1,0.9199179237675210,0.9199179237675210
5th Panzer Army,1,-1.0484331566698800,-1.0484331566698800
6th Army (Wehrmacht),1,0.9262476443828340,0.9262476443828340
6th Panzer Army,1,-1.0484331566698800,-1.0484331566698800
7th Army (Wehrmacht),1,-1.0484331566698800,-1.0484331566698800
7th Infantry Division (Pakistan),1,0.021404420747438900,0.021404420747438900
A. P. Hill,7,-2.2995628073063600,-0.3285089724723370
A.J. Drake,1,-1.0485773056568100,-1.0485773056568100
Aaron S. Merrill,3,2.841983042531660,0.9473276808438860
Abalkhail,1,-1.0522313055251000,-1.0522313055251000
Abbas Mirza,2,-1.8777385719816600,-0.9388692859908290
Abbas al-Musawi,1,-0.13377386757579600,-0.13377386757579600
Abbas ibn Ali,1,-1.0483986596925300,-1.0483986596925300
Abbas ibn Ziyad,1,0.9484016665364310,0.9484016665364310
Abd Allah ibn Abbas,1,0.9452368062287740,0.9452368062287740
Abd Allah ibn al-Zubayr,1,-1.038938892232940,-1.038938892232940
Abd al-Aziz ibn Mutib,4,-2.2130395405003600,-0.5532598851250890
Abd al-Baqi Yazdi,1,-1.0294443113099700,-1.0294443113099700
Abd al-Razzaq Maymandi,1,-1.064257774694200,-1.064257774694200
Abd ar-Rahman ibn Rabiah,1,-1.0484331566698800,-1.0484331566698800
Abd el-Krim,1,0.9506170687517900,0.9506170687517900
Abdallah al-Battal,1,-1.054763193771230,-1.054763193771230
Abdallah al-Ghalib,1,0.9515662103580560,0.9515662103580560
Abdallah ibn Ali,1,0.940489515767289,0.940489515767289
Abdallah ibn Buluggin,1,0.951566843330118,0.951566843330118
Abdallahi ibn Muhammad,1,-1.0319761995561000,-1.0319761995561000
Abdel Hakim Amer,2,-1.9419532690754200,-0.9709766345377080
Abdel Rahman Abdel Hamid,1,-1.0474840150636200,-1.0474840150636200
Abdelhakim Belhadj,1,0.9490346385979620,0.9490346385979620
Abdelwahid Aboud Mackaye,1,-1.049066445217440,-1.049066445217440
Abdi Hasan Awale Qeybdiid,1,0.95172476985947,0.95172476985947
Abdihakim Mohamoud Haji-Faqi,1,0.9573582212070990,0.9573582212070990
Abdikarim Yusuf Adam,1,0.9573582212070990,0.9573582212070990
Abdrabbuh Mansur Hadi,1,-0.04843378964194360,-0.04843378964194360
Abdul Ali Malik,2,-1.9813283005993800,-0.9906641502996890
Abdul Aziz al-Hakim,1,-0.21300328752288300,-0.21300328752288300
Abdul Fatah Younis,6,-3.297168557045930,-0.5495280928409880
Abdul Ghani Baradar,1,0.9517722427640850,0.9517722427640850
Abdul Hamid II,1,0.908050782329653,0.908050782329653
Abdul Hamid Khan (general),1,-0.932916071926446,-0.932916071926446
Abdul Haris Nasution,1,-1.0484337896419400,-1.0484337896419400
Abdul Kabir,1,0.9517722427640850,0.9517722427640850
Abdul Motaleb Malik,1,-0.932916071926446,-0.932916071926446
Abdul Munim Riad,1,-0.9884656051492030,-0.9884656051492030
Abdul Munim Wassel,1,0.9899948318080230,0.9899948318080230
Abdul Qassim,1,-1.0471675290328500,-1.0471675290328500
Abdul Qayyum Zakir,1,-1.0484331566698800,-1.0484331566698800
Abdul Rahim Khan,1,-0.932916071926446,-0.932916071926446
